,n_numerator,n_denominator,mean,median,p25,p75,variance,std
before,897,425,2.1106,1.0000,1.0000,2.0000,9.2354,3.0390
after,725,418,1.7344,1.0000,1.0000,2.0000,3.6248,1.9039
diff,-172,-7,-0.3761,0.0000,0.0000,0.0000,-5.6106,-1.1351
