,n_numerator,n_denominator,mean,median,p25,p75,variance,std
before,4.0371,26,0.1553,0.0000,0.0000,0.0273,0.1894,0.4352
after,2.1417,29,0.0739,0.0000,0.0000,0.0081,0.0688,0.2624
diff,-1.8954,3,-0.0814,0.0000,0.0000,-0.0192,-0.1206,-0.1729
