,n_numerator,n_denominator,mean,median,p25,p75,variance,std
before,1.5460,26,0.0595,0.0122,0.0000,0.0647,0.0176,0.1326
after,0.4436,29,0.0153,0.0000,0.0000,0.0026,0.0022,0.0473
diff,-1.1024,3,-0.0442,-0.0122,0.0000,-0.0621,-0.0153,-0.0852
