,n_numerator,n_denominator,mean,median,p25,p75,variance,std
before,9.6889,26,0.3727,0.1397,0.0000,0.8915,0.1837,0.4286
after,7.8424,29,0.2704,0.0000,0.0000,0.5000,0.1870,0.4325
diff,-1.8466,3,-0.1022,-0.1397,0.0000,-0.3915,0.0033,0.0038
