,n_numerator,n_denominator,mean,median,p25,p75,variance,std
before,8.0000,26,0.3077,0.0000,0.0000,1.0000,0.2215,0.4707
after,13.0000,29,0.4483,0.0000,0.0000,1.0000,0.2562,0.5061
diff,5.0000,3,0.1406,0.0000,0.0000,0.0000,0.0346,0.0354
