,n_numerator,n_denominator,mean,median,p25,p75,variance,std
before,804500,10432,77.1185,21.0000,7.0000,64.0000,31984.6463,178.8425
after,89873,1011,88.8952,38.0000,17.0000,90.5000,47861.1435,218.7719
diff,-714627,-9421,11.7767,17.0000,10.0000,26.5000,15876.4972,39.9294
