,n_numerator,n_denominator,mean,median,p25,p75,variance,std
before,4403,1846,2.3852,1.0000,1.0000,2.0000,9.0424,3.0071
after,2522,1219,2.0689,1.0000,1.0000,2.0000,13.9082,3.7294
diff,-1881,-627,-0.3162,0.0000,0.0000,0.0000,4.8659,0.7223
