,n_numerator,n_denominator,mean,median,p25,p75,variance,std
before,49337,77,640.7403,191.0000,65.0000,747.0000,1103285.6422,1050.3740
after,27883,79,352.9494,202.0000,129.5000,372.0000,206926.7410,454.8920
diff,-21454,2,-287.7909,11.0000,64.5000,-375.0000,-896358.9012,-595.4820
