,n_numerator,n_denominator,mean,median,p25,p75,variance,std
before,10432,24,434.6667,398.5000,168.0000,745.0000,97759.7971,312.6656
after,1011,24,42.1250,29.5000,8.0000,58.5000,2703.7663,51.9978
diff,-9421,0,-392.5417,-369.0000,-160.0000,-686.5000,-95056.0308,-260.6679
