,n_numerator,n_denominator,mean,median,p25,p75,variance,std
before,50502,1351,37.3812,12.0000,4.0000,39.5000,5072.2805,71.2199
after,51290,440,116.5682,57.0000,22.0000,104.2500,83206.5603,288.4555
diff,788,-911,79.1870,45.0000,18.0000,64.7500,78134.2798,217.2355
