,n_numerator,n_denominator,mean,median,p25,p75,variance,std
before,2747,50,54.9400,17.0000,6.2500,51.0000,9502.8331,97.4825
after,1262,32,39.4375,6.0000,2.0000,32.0000,5564.7056,74.5970
diff,-1485,-18,-15.5025,-11.0000,-4.2500,-19.0000,-3938.1274,-22.8855
