bradtraversy/design-resources-for-developers | https://api.github.com/repos/bradtraversy/design-resources-for-developers | 0 agent PRs | first agent PR: 2025-06-02
keras-team/keras | https://api.github.com/repos/keras-team/keras | 0 agent PRs | first agent PR: 2025-06-02
socketio/socket.io | https://api.github.com/repos/socketio/socket.io | 0 agent PRs | first agent PR: 2025-06-02
alacritty/alacritty | https://api.github.com/repos/alacritty/alacritty | 0 agent PRs | first agent PR: 2025-06-02
rust-lang/rustlings | https://api.github.com/repos/rust-lang/rustlings | 0 agent PRs | first agent PR: 2025-06-02
ryanoasis/nerd-fonts | https://api.github.com/repos/ryanoasis/nerd-fonts | 0 agent PRs | first agent PR: 2025-06-02
gorhill/uBlock | https://api.github.com/repos/gorhill/uBlock | 0 agent PRs | first agent PR: 2025-06-02
tldr-pages/tldr | https://api.github.com/repos/tldr-pages/tldr | 0 agent PRs | first agent PR: 2025-06-02
reduxjs/redux | https://api.github.com/repos/reduxjs/redux | 0 agent PRs | first agent PR: 2025-06-02
youngyangyang04/leetcode-master | https://api.github.com/repos/youngyangyang04/leetcode-master | 0 agent PRs | first agent PR: 2025-06-02
minio/minio | https://api.github.com/repos/minio/minio | 0 agent PRs | first agent PR: 2025-06-02
BurntSushi/ripgrep | https://api.github.com/repos/BurntSushi/ripgrep | 0 agent PRs | first agent PR: 2025-06-02
scrapy/scrapy | https://api.github.com/repos/scrapy/scrapy | 0 agent PRs | first agent PR: 2025-06-02
jquery/jquery | https://api.github.com/repos/jquery/jquery | 0 agent PRs | first agent PR: 2025-06-02
spring-projects/spring-framework | https://api.github.com/repos/spring-projects/spring-framework | 0 agent PRs | first agent PR: 2025-06-02
pathwaycom/pathway | https://api.github.com/repos/pathwaycom/pathway | 0 agent PRs | first agent PR: 2025-06-02
jgraph/drawio-desktop | https://api.github.com/repos/jgraph/drawio-desktop | 0 agent PRs | first agent PR: 2025-06-02
git/git | https://api.github.com/repos/git/git | 0 agent PRs | first agent PR: 2025-06-02
rails/rails | https://api.github.com/repos/rails/rails | 0 agent PRs | first agent PR: 2025-06-02
FFmpeg/FFmpeg | https://api.github.com/repos/FFmpeg/FFmpeg | 0 agent PRs | first agent PR: 2025-06-02
sharkdp/bat | https://api.github.com/repos/sharkdp/bat | 0 agent PRs | first agent PR: 2025-06-02
FuelLabs/fuel-core | https://api.github.com/repos/FuelLabs/fuel-core | 0 agent PRs | first agent PR: 2025-06-02
ultralytics/yolov5 | https://api.github.com/repos/ultralytics/yolov5 | 0 agent PRs | first agent PR: 2025-06-02
pocketbase/pocketbase | https://api.github.com/repos/pocketbase/pocketbase | 0 agent PRs | first agent PR: 2025-06-02
dani-garcia/vaultwarden | https://api.github.com/repos/dani-garcia/vaultwarden | 0 agent PRs | first agent PR: 2025-06-02
pi-hole/pi-hole | https://api.github.com/repos/pi-hole/pi-hole | 0 agent PRs | first agent PR: 2025-06-02
rust-unofficial/awesome-rust | https://api.github.com/repos/rust-unofficial/awesome-rust | 0 agent PRs | first agent PR: 2025-06-02
starship/starship | https://api.github.com/repos/starship/starship | 0 agent PRs | first agent PR: 2025-06-02
psf/requests | https://api.github.com/repos/psf/requests | 0 agent PRs | first agent PR: 2025-06-02
laurent22/joplin | https://api.github.com/repos/laurent22/joplin | 0 agent PRs | first agent PR: 2025-06-02
ngosang/trackerslist | https://api.github.com/repos/ngosang/trackerslist | 0 agent PRs | first agent PR: 2025-06-02
firstcontributions/first-contributions | https://api.github.com/repos/firstcontributions/first-contributions | 0 agent PRs | first agent PR: 2025-06-02
WerWolv/ImHex | https://api.github.com/repos/WerWolv/ImHex | 0 agent PRs | first agent PR: 2025-06-02
typst/typst | https://api.github.com/repos/typst/typst | 0 agent PRs | first agent PR: 2025-06-02
etcd-io/etcd | https://api.github.com/repos/etcd-io/etcd | 0 agent PRs | first agent PR: 2025-06-02
google/guava | https://api.github.com/repos/google/guava | 0 agent PRs | first agent PR: 2025-06-02
2dust/v2rayNG | https://api.github.com/repos/2dust/v2rayNG | 0 agent PRs | first agent PR: 2025-06-02
charlax/professional-programming | https://api.github.com/repos/charlax/professional-programming | 0 agent PRs | first agent PR: 2025-06-02
mastodon/mastodon | https://api.github.com/repos/mastodon/mastodon | 0 agent PRs | first agent PR: 2025-06-02
AlistGo/alist | https://api.github.com/repos/AlistGo/alist | 0 agent PRs | first agent PR: 2025-06-02
lyswhut/lx-music-desktop | https://api.github.com/repos/lyswhut/lx-music-desktop | 0 agent PRs | first agent PR: 2025-06-02
dkhamsing/open-source-ios-apps | https://api.github.com/repos/dkhamsing/open-source-ios-apps | 0 agent PRs | first agent PR: 2025-06-02
