PKUFlyingPig/cs-self-learning | https://github.com/PKUFlyingPig/cs-self-learning | 0 agent PRs | first agent PR: N/A | repo creation: 2021-10-20 | before_commits >= 50 | after_commits >= 25
pallets/flask | https://github.com/pallets/flask | 0 agent PRs | first agent PR: N/A | repo creation: 2010-04-06 | before_commits >= 50 | after_commits >= 25
dair-ai/Prompt-Engineering-Guide | https://github.com/dair-ai/Prompt-Engineering-Guide | 0 agent PRs | first agent PR: N/A | repo creation: 2022-12-16 | before_commits >= 50 | after_commits >= 25
protocolbuffers/protobuf | https://github.com/protocolbuffers/protobuf | 0 agent PRs | first agent PR: N/A | repo creation: 2014-08-26 | before_commits >= 50 | after_commits >= 25
hakimel/reveal.js | https://github.com/hakimel/reveal.js | 0 agent PRs | first agent PR: N/A | repo creation: 2011-06-07 | before_commits >= 50 | after_commits >= 25
obsproject/obs-studio | https://github.com/obsproject/obs-studio | 0 agent PRs | first agent PR: N/A | repo creation: 2013-10-01 | before_commits >= 50 | after_commits >= 25
Eugeny/tabby | https://github.com/Eugeny/tabby | 0 agent PRs | first agent PR: N/A | repo creation: 2016-12-23 | before_commits >= 50 | after_commits >= 25
danielmiessler/SecLists | https://github.com/danielmiessler/SecLists | 0 agent PRs | first agent PR: N/A | repo creation: 2012-02-19 | before_commits >= 50 | after_commits >= 25
nektos/act | https://github.com/nektos/act | 0 agent PRs | first agent PR: N/A | repo creation: 2019-01-02 | before_commits >= 50 | after_commits >= 25
expressjs/express | https://github.com/expressjs/express | 0 agent PRs | first agent PR: N/A | repo creation: 2009-06-26 | before_commits >= 50 | after_commits >= 25
base/node | https://github.com/base/node | 0 agent PRs | first agent PR: N/A | repo creation: 2023-02-01 | before_commits >= 50 | after_commits >= 25
ansible/ansible | https://github.com/ansible/ansible | 0 agent PRs | first agent PR: N/A | repo creation: 2012-03-06 | before_commits >= 50 | after_commits >= 25
juliangarnier/anime | https://github.com/juliangarnier/anime | 0 agent PRs | first agent PR: N/A | repo creation: 2016-03-13 | before_commits >= 50 | after_commits >= 25
webpack/webpack | https://github.com/webpack/webpack | 0 agent PRs | first agent PR: N/A | repo creation: 2012-03-10 | before_commits >= 50 | after_commits >= 25
labmlai/annotated_deep_learning_paper_implementations | https://github.com/labmlai/annotated_deep_learning_paper_implementations | 0 agent PRs | first agent PR: N/A | repo creation: 2020-08-25 | before_commits >= 50 | after_commits >= 25
apache/echarts | https://github.com/apache/echarts | 0 agent PRs | first agent PR: N/A | repo creation: 2013-04-03 | before_commits >= 50 | after_commits >= 25
TheAlgorithms/Java | https://github.com/TheAlgorithms/Java | 0 agent PRs | first agent PR: N/A | repo creation: 2016-07-16 | before_commits >= 50 | after_commits >= 25
bradtraversy/design-resources-for-developers | https://github.com/bradtraversy/design-resources-for-developers | 0 agent PRs | first agent PR: N/A | repo creation: 2020-05-06 | before_commits >= 50 | after_commits >= 25
keras-team/keras | https://github.com/keras-team/keras | 0 agent PRs | first agent PR: N/A | repo creation: 2015-03-28 | before_commits >= 50 | after_commits >= 25
socketio/socket.io | https://github.com/socketio/socket.io | 0 agent PRs | first agent PR: N/A | repo creation: 2010-03-11 | before_commits >= 50 | after_commits >= 25
alacritty/alacritty | https://github.com/alacritty/alacritty | 0 agent PRs | first agent PR: N/A | repo creation: 2016-02-18 | before_commits >= 50 | after_commits >= 25
rust-lang/rustlings | https://github.com/rust-lang/rustlings | 0 agent PRs | first agent PR: N/A | repo creation: 2015-09-15 | before_commits >= 50 | after_commits >= 25
ryanoasis/nerd-fonts | https://github.com/ryanoasis/nerd-fonts | 0 agent PRs | first agent PR: N/A | repo creation: 2014-12-05 | before_commits >= 50 | after_commits >= 25
