text_type,mean_entropy,std_entropy,min_entropy,max_entropy,n_docs
commit_messages,2.049383264053341,0.025203166093202764,1.8378479299641206,2.079072444645715,33667
pr_bodies,2.0477948685784826,0.02239894126840207,1.8378479299641206,2.078596031811091,10792
issue_bodies,2.057262899968175,0.019336654046546487,1.8793189983633485,2.0783291640714507,1773
review_comments,2.0499501476356663,0.02761051615890186,1.8763166727926084,2.0759281318459477,204
ALL_COMBINED,2.0493174589616694,0.024448158449103412,1.8378479299641206,2.079072444645715,46436
