topic_label,count_before,count_after,share_before,share_after,delta_share,mean_weight_before,mean_weight_after,delta_mean_weight
Feature Development,133,754,0.07617411225658649,0.08335175768295379,0.007177645426367299,0.11122756451368332,0.11592362821102142,0.004696063697338104
UI / UX,102,1164,0.058419243986254296,0.12867565774928144,0.07025641376302715,0.10546445846557617,0.11297978460788727,0.007515326142311096
Bug Fixing & Debugging,413,593,0.23654066437571591,0.06555383594959098,-0.17098682842612495,0.13815468549728394,0.12085940688848495,-0.01729527860879898
Testing & CI,344,4403,0.1970217640320733,0.48673446827326994,0.28971270424119666,0.14296239614486694,0.1643517166376114,0.021389320492744446
Refactoring & Cleanup,168,273,0.09621993127147767,0.030179084678310857,-0.06604084659316681,0.1237119659781456,0.1110568642616272,-0.012655101716518402
Documentation & Communication,161,1191,0.09221076746849943,0.13166040238779572,0.03944963491929629,0.12468891590833664,0.13215529918670654,0.0074663832783699036
Deployment,338,508,0.19358533791523483,0.056157417643157195,-0.13742792027207762,0.132144033908844,0.12621814012527466,-0.005925893783569336
Code Review & Collaboration,87,160,0.04982817869415808,0.017687375635640063,-0.03214080305851802,0.121645987033844,0.11645518243312836,-0.005190804600715637
