text_type,doc_id,cluster
commit_messages,318,0
commit_messages,319,3
commit_messages,320,0
commit_messages,321,0
commit_messages,322,3
commit_messages,323,0
commit_messages,324,0
commit_messages,325,3
commit_messages,326,0
commit_messages,327,0
commit_messages,328,3
commit_messages,329,0
commit_messages,330,0
commit_messages,331,3
commit_messages,332,0
commit_messages,333,0
commit_messages,334,3
commit_messages,335,0
commit_messages,336,0
commit_messages,337,3
commit_messages,338,0
commit_messages,339,0
commit_messages,340,3
commit_messages,341,0
commit_messages,342,0
commit_messages,343,3
commit_messages,344,0
commit_messages,345,0
commit_messages,346,3
commit_messages,347,0
commit_messages,348,0
commit_messages,349,3
commit_messages,350,0
commit_messages,351,0
commit_messages,352,3
commit_messages,353,0
commit_messages,354,0
commit_messages,355,3
commit_messages,356,0
commit_messages,357,0
commit_messages,358,3
commit_messages,359,0
commit_messages,360,0
commit_messages,361,3
commit_messages,362,0
commit_messages,363,0
commit_messages,364,3
commit_messages,365,0
commit_messages,366,0
commit_messages,367,3
commit_messages,368,0
commit_messages,369,0
commit_messages,370,3
commit_messages,371,0
commit_messages,372,0
commit_messages,373,3
commit_messages,374,0
commit_messages,375,0
commit_messages,376,3
commit_messages,377,0
commit_messages,378,0
commit_messages,379,3
commit_messages,380,0
commit_messages,381,0
commit_messages,382,3
commit_messages,383,0
commit_messages,384,0
commit_messages,385,3
commit_messages,386,0
commit_messages,387,0
commit_messages,388,3
commit_messages,389,0
commit_messages,390,0
commit_messages,391,3
commit_messages,392,0
commit_messages,393,0
commit_messages,394,3
commit_messages,395,3
commit_messages,396,1
commit_messages,397,0
commit_messages,398,3
commit_messages,399,0
commit_messages,400,3
commit_messages,401,3
commit_messages,402,0
commit_messages,403,1
commit_messages,404,1
commit_messages,405,3
commit_messages,406,3
commit_messages,407,1
commit_messages,408,1
commit_messages,409,3
commit_messages,410,1
commit_messages,411,0
commit_messages,412,3
commit_messages,413,0
commit_messages,414,3
commit_messages,415,1
commit_messages,416,1
commit_messages,417,3
commit_messages,418,0
commit_messages,419,0
commit_messages,420,3
commit_messages,421,0
commit_messages,422,0
commit_messages,423,3
commit_messages,424,3
commit_messages,425,3
commit_messages,426,3
commit_messages,427,1
commit_messages,428,2
commit_messages,429,0
commit_messages,430,1
commit_messages,431,1
commit_messages,432,1
commit_messages,433,1
commit_messages,434,1
commit_messages,435,0
commit_messages,436,1
commit_messages,437,3
commit_messages,438,3
commit_messages,439,3
commit_messages,440,0
commit_messages,441,3
commit_messages,442,3
commit_messages,443,3
commit_messages,444,1
commit_messages,445,3
commit_messages,446,0
commit_messages,447,3
commit_messages,448,3
commit_messages,449,0
commit_messages,450,0
commit_messages,451,0
commit_messages,452,1
commit_messages,453,0
commit_messages,454,1
commit_messages,455,3
commit_messages,456,3
commit_messages,457,0
commit_messages,458,3
commit_messages,459,3
commit_messages,460,3
commit_messages,461,0
commit_messages,462,3
commit_messages,463,0
commit_messages,464,1
commit_messages,465,0
commit_messages,466,3
commit_messages,467,0
commit_messages,468,0
commit_messages,469,3
commit_messages,470,0
commit_messages,471,0
commit_messages,472,0
commit_messages,473,3
commit_messages,474,0
commit_messages,475,3
commit_messages,476,1
commit_messages,477,0
commit_messages,478,1
commit_messages,479,0
commit_messages,480,0
commit_messages,481,2
commit_messages,482,0
commit_messages,483,3
commit_messages,484,3
commit_messages,485,3
commit_messages,486,0
commit_messages,487,0
commit_messages,488,3
commit_messages,489,0
commit_messages,490,3
commit_messages,491,0
commit_messages,492,0
commit_messages,493,1
commit_messages,494,1
commit_messages,495,3
commit_messages,496,3
commit_messages,497,0
commit_messages,498,3
commit_messages,499,0
commit_messages,500,3
commit_messages,501,0
commit_messages,502,1
commit_messages,503,0
commit_messages,504,0
commit_messages,505,3
commit_messages,506,0
commit_messages,507,1
commit_messages,508,3
commit_messages,509,0
commit_messages,510,3
commit_messages,511,0
commit_messages,512,0
commit_messages,513,3
commit_messages,514,3
commit_messages,515,0
commit_messages,516,1
commit_messages,517,3
commit_messages,518,0
commit_messages,519,3
commit_messages,520,1
commit_messages,521,3
commit_messages,522,0
commit_messages,523,3
commit_messages,524,3
commit_messages,525,0
commit_messages,526,1
commit_messages,527,3
commit_messages,528,1
commit_messages,529,3
commit_messages,530,3
commit_messages,531,3
commit_messages,532,1
commit_messages,533,1
commit_messages,534,0
commit_messages,535,1
commit_messages,536,3
commit_messages,537,3
commit_messages,538,0
commit_messages,539,0
commit_messages,540,1
commit_messages,541,0
commit_messages,542,3
commit_messages,543,3
commit_messages,544,0
commit_messages,545,1
commit_messages,546,1
commit_messages,547,0
commit_messages,548,1
commit_messages,549,3
commit_messages,550,1
commit_messages,551,0
commit_messages,552,0
commit_messages,553,0
commit_messages,554,0
commit_messages,555,1
commit_messages,556,3
commit_messages,557,3
commit_messages,558,0
commit_messages,559,0
commit_messages,560,0
commit_messages,561,3
commit_messages,562,0
commit_messages,563,1
commit_messages,564,3
commit_messages,565,1
commit_messages,566,3
commit_messages,567,3
commit_messages,568,0
commit_messages,569,0
commit_messages,570,0
commit_messages,571,0
commit_messages,572,3
commit_messages,573,3
commit_messages,574,3
commit_messages,575,0
commit_messages,576,3
commit_messages,577,3
commit_messages,578,3
commit_messages,579,3
commit_messages,580,0
commit_messages,581,0
commit_messages,582,0
commit_messages,583,3
commit_messages,584,3
commit_messages,585,0
commit_messages,586,3
commit_messages,587,3
commit_messages,588,0
commit_messages,589,0
commit_messages,590,1
commit_messages,591,0
commit_messages,592,0
commit_messages,593,0
commit_messages,594,0
commit_messages,595,3
commit_messages,596,2
commit_messages,597,0
commit_messages,598,1
commit_messages,599,1
commit_messages,600,3
commit_messages,601,0
commit_messages,602,1
commit_messages,603,0
commit_messages,604,0
commit_messages,605,0
commit_messages,606,1
commit_messages,607,2
commit_messages,608,1
commit_messages,609,2
commit_messages,610,3
commit_messages,611,2
commit_messages,612,3
commit_messages,613,2
commit_messages,614,0
commit_messages,615,0
commit_messages,616,2
commit_messages,617,0
commit_messages,618,2
commit_messages,619,2
commit_messages,620,0
commit_messages,621,0
commit_messages,622,3
commit_messages,623,2
commit_messages,624,2
commit_messages,625,1
commit_messages,626,0
commit_messages,627,2
commit_messages,628,3
commit_messages,629,3
commit_messages,630,3
commit_messages,631,0
commit_messages,632,0
commit_messages,633,3
commit_messages,634,3
commit_messages,635,3
commit_messages,636,3
commit_messages,637,3
commit_messages,638,3
commit_messages,639,0
commit_messages,640,3
commit_messages,641,3
commit_messages,642,0
commit_messages,643,0
commit_messages,644,0
commit_messages,645,1
commit_messages,646,1
commit_messages,647,0
commit_messages,648,0
commit_messages,649,0
commit_messages,650,0
commit_messages,651,3
commit_messages,652,0
commit_messages,653,3
commit_messages,654,3
commit_messages,655,0
commit_messages,656,3
commit_messages,657,3
commit_messages,658,1
commit_messages,659,3
commit_messages,660,3
commit_messages,661,3
commit_messages,662,0
commit_messages,663,1
commit_messages,664,1
commit_messages,665,3
commit_messages,666,0
commit_messages,667,0
commit_messages,668,3
commit_messages,669,0
commit_messages,670,0
commit_messages,671,3
commit_messages,672,0
commit_messages,673,3
commit_messages,674,0
commit_messages,675,3
