text_type,mean_top1,mean_top2,mean_top3,mean_top4,mean_top5,mean_top6,mean_top7,mean_top8,std_top1,std_top2,std_top3,std_top4,std_top5,std_top6,std_top7,std_top8,n_docs
commit_messages,0.18358419403837586,0.14850181509374166,0.13322272160453857,0.12262635314465205,0.1141330913719369,0.10720831300261383,0.0999614597369828,0.09076205207280126,0.03444227096686357,0.01419894108324331,0.010086209023375637,0.008835686189239347,0.008982963669606943,0.008640938429515492,0.008836407467902534,0.00979756134095776,33667
pr_bodies,0.1865885132987398,0.14878864799416233,0.1328143849608043,0.12268382995941438,0.11444127455068569,0.10676005793059676,0.09904695016234245,0.08887634219477392,0.03226846456416876,0.013787800071687444,0.009862686902783961,0.00831002667336917,0.007919695644828428,0.008285886266715708,0.008958419523279335,0.01021830745263489,10792
issue_bodies,0.174393079571348,0.1452079123152848,0.13247367014100395,0.12337336743485616,0.11629010359785673,0.1102726343824027,0.10375399068471518,0.09423524283305133,0.029973161019857204,0.010703616393364075,0.008289668058994773,0.0072260414196429045,0.006718101317981074,0.007104263349714796,0.008086066533907465,0.009005129631371896,1773
review_comments,0.18343587583333332,0.14818284321568628,0.13187478735294117,0.12198224690196079,0.11503616714705883,0.10770046564215686,0.10051276401960786,0.09127484848039215,0.03512452785002728,0.013205105223216761,0.009853837103601246,0.008855991917257479,0.008837274683458931,0.008476428633584582,0.0089623817958342,0.010152268375806411,204
ALL_COMBINED,0.18393083265052976,0.14844130903749245,0.1330933001235464,0.12266540363237574,0.11429104044161856,0.10722329862169437,0.09989614911837798,0.09045866669683003,0.03386720067167923,0.013997244375563225,0.009973257803309134,0.008660920089290798,0.00867905574396542,0.00852871386342464,0.008879884102767473,0.009930142828446991,46436
