topic_label,count_before,count_after,share_before,share_after,delta_share,mean_weight_before,mean_weight_after,delta_mean_weight
Feature Development,175,94,0.1312828207051763,0.21363636363636362,0.08235354293118732,0.12065315991640091,0.12493621557950974,0.004283055663108826
UI / UX,90,41,0.06751687921980495,0.09318181818181819,0.02566493896201323,0.11084382981061935,0.11812452971935272,0.007280699908733368
Bug Fixing & Debugging,348,179,0.26106526631657917,0.4068181818181818,0.14575291550160263,0.14116907119750977,0.1488930732011795,0.007724002003669739
Testing & CI,160,38,0.12003000750187547,0.08636363636363636,-0.0336663711382391,0.13054025173187256,0.12407603859901428,-0.006464213132858276
Refactoring & Cleanup,93,19,0.06976744186046512,0.04318181818181818,-0.026585623678646933,0.11942704766988754,0.11971691995859146,0.00028987228870391846
Documentation & Communication,241,22,0.18079519879969994,0.05,-0.13079519879969992,0.1275624781847,0.12144733220338821,-0.006115145981311798
Deployment,164,35,0.12303075768942236,0.07954545454545454,-0.04348530314396781,0.12779633700847626,0.1201782152056694,-0.007618121802806854
Code Review & Collaboration,62,12,0.046511627906976744,0.02727272727272727,-0.019238900634249472,0.12200784683227539,0.12262766808271408,0.0006198212504386902
