text_type,mean_top1_weight,mean_top2_weight,mean_margin_top1_top2,mean_entropy,n_docs
commit_messages,0.18358419403837586,0.14850181509374166,0.03508237894463421,2.049383264053341,33667
pr_bodies,0.1865885132987398,0.14878864799416233,0.03779986530457746,2.0477948685784826,10792
issue_bodies,0.174393079571348,0.1452079123152848,0.029185167256063172,2.0572628999681752,1773
review_comments,0.18343587583333332,0.14818284321568628,0.035253032617647055,2.0499501476356663,204
ALL_COMBINED,0.18393083265052976,0.14844130903749245,0.035489523613037297,2.0493174589616694,46436
