topic_label,count_before,count_after,share_before,share_after,delta_share,mean_weight_before,mean_weight_after,delta_mean_weight
Feature Development,5,13,0.08928571428571429,0.08783783783783784,-0.001447876447876445,0.11516332626342773,0.11593795567750931,0.0007746294140815735
UI / UX,2,14,0.03571428571428571,0.0945945945945946,0.05888030888030889,0.11115605384111404,0.10650331526994705,-0.004652738571166992
Bug Fixing & Debugging,8,28,0.14285714285714285,0.1891891891891892,0.04633204633204635,0.1352512687444687,0.1376597136259079,0.002408444881439209
Testing & CI,7,21,0.125,0.14189189189189189,0.016891891891891886,0.13018791377544403,0.13415469229221344,0.003966778516769409
Refactoring & Cleanup,11,21,0.19642857142857142,0.14189189189189189,-0.05453667953667954,0.12223856896162033,0.12413223087787628,0.001893661916255951
Documentation & Communication,2,9,0.03571428571428571,0.060810810810810814,0.025096525096525102,0.12530355155467987,0.1271699070930481,0.001866355538368225
Deployment,2,10,0.03571428571428571,0.06756756756756757,0.03185328185328186,0.11832856386899948,0.117307148873806,-0.0010214149951934814
Code Review & Collaboration,19,32,0.3392857142857143,0.21621621621621623,-0.12306949806949807,0.14237073063850403,0.13713501393795013,-0.005235716700553894
