text_type,topic,n_docs_assigned,mean_confidence,std_confidence
ALL_COMBINED,Feature Development,5106,0.1723010763063063,0.02115370740972389
ALL_COMBINED,UI / UX,4166,0.19048640858857419,0.033705249216905424
ALL_COMBINED,Bug Fixing & Debugging,5404,0.17933673294966693,0.028937644436902454
ALL_COMBINED,Testing & CI,8915,0.20472717455300055,0.043757701521635495
ALL_COMBINED,Refactoring & Cleanup,3986,0.1761208556246864,0.03101034999236687
ALL_COMBINED,Documentation & Communication,5938,0.1850620116099697,0.0340459232119799
ALL_COMBINED,Deployment,7338,0.1832401367266285,0.028683554013595253
ALL_COMBINED,Code Review & Collaboration,5583,0.16619486412323126,0.01368605941184
