topic_id,top_words
0,"the, to, in, and, is, test, for, implementation, changes, with"
1,"mobile, the, language, to, copilot, string, name, user, id, put"
2,"looks, good, everything, lgtm, lawrey, peter, great, would, prefer, nice"
3,"comments, see, approved, comment, left, re, rebase, review, and, but"
