topic_id,topic_label,count_before,count_after,share_before,share_after,delta_share
0,Bug Fixing & Debugging,6713,4875,0.4939661515820456,0.2428030680346648,-0.2511630835473808
1,Feature Development,2427,4993,0.17858719646799118,0.24868014742504232,0.07009295095705115
2,Refactoring & Cleanup,702,1887,0.051655629139072845,0.09398346448849487,0.04232783534942203
3,Build / Tooling / DevOps,823,1637,0.060559234731420164,0.08153202510210181,0.020972790370681643
4,UI / UX,355,2015,0.02612214863870493,0.10035860145432812,0.07423645281562319
5,Testing & CI,754,589,0.05548197203826343,0.029335591194342064,-0.026146380843921367
6,Documentation & Communication,1125,922,0.08278145695364239,0.04592090845701763,-0.03686054849662476
7,Code Review & Collaboration,691,3160,0.05084621044885945,0.15738619384400837,0.10653998339514892
