topic_id,topic_label,count_before,count_after,share_before,share_after,delta_share
0,Bug Fixing & Debugging,1328,2038,0.7605956471935853,0.22529294715896528,-0.53530270003462
1,Feature Development,164,3961,0.09392898052691867,0.43787309307981426,0.3439441125528956
2,Refactoring & Cleanup,55,915,0.03150057273768614,0.1011496794163166,0.06964910667863046
3,Build / Tooling / DevOps,89,46,0.05097365406643757,0.005085120495246518,-0.045888533571191055
4,UI / UX,21,1135,0.012027491408934709,0.1254698209153217,0.11344232950638698
5,Testing & CI,69,579,0.03951890034364261,0.06400619058147247,0.024487290237829862
6,Documentation & Communication,20,372,0.011454753722794959,0.04112314835286315,0.029668394630068186
7,Code Review & Collaboration,0,0,0.0,0.0,0.0
