topic_id,topic_label,count_before,count_after,share_before,share_after,delta_share
0,Bug Fixing & Debugging,96,108,0.07201800450112528,0.24545454545454545,0.17343654095342018
1,Feature Development,262,152,0.19654913728432108,0.34545454545454546,0.14890540817022438
2,Refactoring & Cleanup,264,5,0.1980495123780945,0.011363636363636364,-0.18668587601445816
3,Build / Tooling / DevOps,7,38,0.005251312828207052,0.08636363636363636,0.08111232353542931
4,UI / UX,38,53,0.028507126781695424,0.12045454545454545,0.09194741867285003
5,Testing & CI,72,9,0.05401350337584396,0.020454545454545454,-0.0335589579212985
6,Documentation & Communication,579,74,0.43435858964741186,0.16818181818181818,-0.2661767714655937
7,Code Review & Collaboration,15,1,0.011252813203300824,0.0022727272727272726,-0.008980085930573551
