topic_id,topic_label,count_before,count_after,share_before,share_after,delta_share
0,Bug Fixing & Debugging,29,63,0.5178571428571429,0.42567567567567566,-0.09218146718146725
1,Feature Development,7,16,0.125,0.10810810810810811,-0.016891891891891886
2,Refactoring & Cleanup,3,7,0.05357142857142857,0.0472972972972973,-0.0062741312741312685
3,Build / Tooling / DevOps,4,9,0.07142857142857142,0.060810810810810814,-0.01061776061776061
4,UI / UX,3,21,0.05357142857142857,0.14189189189189189,0.08832046332046331
5,Testing & CI,3,5,0.05357142857142857,0.033783783783783786,-0.019787644787644783
6,Documentation & Communication,7,11,0.125,0.07432432432432433,-0.05067567567567567
7,Code Review & Collaboration,0,16,0.0,0.10810810810810811,0.10810810810810811
