before,after,diff
181.54545454545453,352.1034482758621,170.55799373040756
29.0,195.0,166.0
4.5,142.0,137.5
118.5,376.0,257.5
155397.68831168828,95572.3103448276,-59825.37796686069
394.2051348114181,309.14771605953615,-85.05741875188193
22.0,29.0,7.0
