,lang_type,mean_len,median_len,count,period
0,dynamic,24.2195,18.0000,41,before
1,other,27.7931,8.0000,29,before
2,static,38.0195,12.0000,1281,before
3,dynamic,12.0000,13.5000,6,after
4,static,118.0138,57.5000,434,after
